,R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
145,5725,5674,6324,5961,4646,4623,5371,5010,6360,6304,7208,6655,15578.0,15557.0,17502.0,16323.0,2018-10-22 17:45:57
146,5699,5674,6339,5961,4635,4623,5378,5010,6357,6304,7211,6655,15538.0,15557.0,17526.0,16323.0,2018-10-22 17:47:59
147,5721,5674,6355,5961,4644,4623,5384,5010,6359,6304,7212,6655,15571.0,15557.0,17548.0,16323.0,2018-10-22 17:49:57
148,5740,5674,6327,5961,4652,4623,5372,5010,6361,6304,7210,6655,15601.0,15557.0,17506.0,16323.0,2018-10-22 17:51:57
149,5708,5674,6339,5961,4639,4623,5377,5010,6358,6304,7210,6655,15552.0,15557.0,17524.0,16323.0,2018-10-22 17:53:57
150,5732,5674,6355,5961,4648,4623,5384,5010,6361,6304,7213,6655,15588.0,15557.0,17550.0,16323.0,2018-10-22 17:55:57
151,5743,5674,6320,5961,4631,4623,5369,5010,6354,6304,7208,6655,15602.0,15557.0,17494.0,16323.0,2018-10-22 17:57:58
152,5710,5674,6333,5961,4639,4623,5375,5010,6357,6304,7210,6655,15551.0,15557.0,17517.0,16323.0,2018-10-22 17:59:58
153,5733,5674,6347,5961,4648,4623,5380,5010,6359,6304,7211,6655,15588.0,15557.0,17537.0,16323.0,2018-10-22 18:01:58
154,5743,5674,6365,5961,4631,4623,5367,5010,6353,6304,7207,6655,15603.0,15557.0,17565.0,16323.0,2018-10-22 18:03:58
155,5710,5674,6326,5961,4639,4623,5372,5010,6356,6304,7209,6655,15553.0,15557.0,17506.0,16323.0,2018-10-22 18:05:58
156,5735,5674,6338,5961,4649,4623,5377,5010,6358,6304,7210,6655,15590.0,15557.0,17524.0,16323.0,2018-10-22 18:07:58
157,5692,5674,6354,5961,4631,4623,5384,5010,6353,6304,7212,6655,15604.0,15557.0,17548.0,16323.0,2018-10-22 18:09:59
158,5711,5674,6320,5961,4639,4623,5369,5010,6355,6304,7208,6655,15551.0,15557.0,17495.0,16323.0,2018-10-22 18:11:59
159,5737,5674,6332,5961,4649,4623,5375,5010,6358,6304,7209,6655,15591.0,15557.0,17514.0,16323.0,2018-10-22 18:13:59
160,5692,5674,6345,5961,4631,4623,5380,5010,6352,6304,7211,6655,15522.0,15557.0,17534.0,16323.0,2018-10-22 18:15:59
161,5713,5674,6363,5961,4639,4623,5366,5010,6355,6304,7206,6655,15553.0,15557.0,17562.0,16323.0,2018-10-22 18:17:59
162,5740,5674,6327,5961,4650,4623,5373,5010,6351,6304,7209,6655,15595.0,15557.0,17507.0,16323.0,2018-10-22 18:19:59
163,5695,5674,6340,5961,4632,4623,5378,5010,6352,6304,7211,6655,15525.0,15557.0,17528.0,16323.0,2018-10-22 18:22:01
164,5716,5674,6357,5961,4640,4623,5386,5010,6356,6304,7214,6655,15557.0,15557.0,17557.0,16323.0,2018-10-22 18:23:59
165,5741,5674,6319,5961,4628,4623,5369,5010,6350,6304,7207,6655,15595.0,15557.0,17495.0,16323.0,2018-10-22 18:26:01
166,5695,5674,6332,5961,4631,4623,5374,5010,6351,6304,7209,6655,15523.0,15557.0,17516.0,16323.0,2018-10-22 18:28:00
167,5716,5674,6347,5961,4639,4623,5381,5010,6354,6304,7211,6655,15556.0,15557.0,17539.0,16323.0,2018-10-22 18:30:00
168,5689,5674,6364,5961,4628,4623,5367,5010,6349,6304,7206,6655,15596.0,15557.0,17565.0,16323.0,2018-10-22 18:32:00
169,5697,5674,6325,5961,4632,4623,5371,5010,6352,6304,7208,6655,15526.0,15557.0,17505.0,16323.0,2018-10-22 18:34:00
170,5718,5674,6340,5961,4640,4623,5378,5010,6353,6304,7210,6655,15557.0,15557.0,17528.0,16323.0,2018-10-22 18:36:03
171,5691,5674,6356,5961,4629,4623,5384,5010,6350,6304,7211,6655,15516.0,15557.0,17551.0,16323.0,2018-10-22 18:38:00
172,5703,5674,6324,5961,4634,4623,5371,5010,6352,6304,7208,6655,15535.0,15557.0,17505.0,16323.0,2018-10-22 18:40:00
173,5727,5674,6338,5961,4644,4623,5377,5010,6354,6304,7209,6655,15571.0,15557.0,17524.0,16323.0,2018-10-22 18:42:01
174,5697,5674,6352,5961,4631,4623,5383,5010,6350,6304,7211,6655,15524.0,15557.0,17545.0,16323.0,2018-10-22 18:44:01
175,5704,5674,6318,5961,4634,4623,5368,5010,6351,6304,7207,6655,15536.0,15557.0,17492.0,16323.0,2018-10-22 18:46:01
176,5730,5674,6329,5961,4645,4623,5373,5010,6354,6304,7207,6655,15575.0,15557.0,17511.0,16323.0,2018-10-22 18:48:04
177,5699,5674,6344,5961,4632,4623,5380,5010,6350,6304,7211,6655,15528.0,15557.0,17535.0,16323.0,2018-10-22 18:50:01
178,5707,5674,6360,5961,4636,4623,5387,5010,6352,6304,7213,6655,15541.0,15557.0,17559.0,16323.0,2018-10-22 18:52:01
179,5732,5674,6324,5961,4645,4623,5372,5010,6354,6304,7209,6655,15578.0,15557.0,17505.0,16323.0,2018-10-22 18:54:01
180,5701,5674,6336,5961,4632,4623,5376,5010,6349,6304,7209,6655,15529.0,15557.0,17523.0,16323.0,2018-10-22 18:56:02
181,5710,5674,6351,5961,4636,4623,5382,5010,6350,6304,7211,6655,15541.0,15557.0,17544.0,16323.0,2018-10-22 18:58:03
182,5736,5674,6316,5961,4646,4623,5367,5010,6346,6304,7205,6655,15581.0,15557.0,17490.0,16323.0,2018-10-22 19:00:02
183,5705,5674,6330,5961,4634,4623,5374,5010,6350,6304,7209,6655,15536.0,15557.0,17514.0,16323.0,2018-10-22 19:02:02
184,5731,5674,6343,5961,4645,4623,5379,5010,6353,6304,7209,6655,15575.0,15557.0,17531.0,16323.0,2018-10-22 19:04:02
185,5688,5674,6360,5961,4626,4623,5386,5010,6346,6304,7211,6655,15506.0,15557.0,17558.0,16323.0,2018-10-22 19:06:02
186,5708,5674,6323,5961,4635,4623,5371,5010,6350,6304,7208,6655,15540.0,15557.0,17502.0,16323.0,2018-10-22 19:08:04
187,5733,5674,6334,5961,4645,4623,5374,5010,6352,6304,7207,6655,15578.0,15557.0,17517.0,16323.0,2018-10-22 19:11:22
188,5690,5674,6349,5961,4627,4623,5381,5010,6347,6304,7209,6655,15509.0,15557.0,17541.0,16323.0,2018-10-22 19:12:24
