R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
6531,6480,10117,10004,5143,5054,7521,7344,7137,6916,9189,8878,17879,17456,27617,26918,2018-10-22 18:55:36
6518,6480,10113,10004,5137,5054,7519,7344,7133,6916,9187,8878,17855,17456,27607,26918,2018-10-22 18:57:36
6555,6480,10111,10004,5154,5054,7518,7344,7142,6916,9185,8878,17920,17456,27601,26918,2018-10-22 18:59:36
6513,6480,10110,10004,5134,5054,7517,7344,7131,6916,9185,8878,17846,17456,27601,26918,2018-10-22 19:01:36
6501,6480,10106,10004,5128,5054,7514,7344,7126,6916,9183,8878,17824,17456,27591,26918,2018-10-22 19:03:37
6532,6480,10102,10004,5143,5054,7513,7344,7135,6916,9182,8878,17879,17456,27585,26918,2018-10-22 19:05:37
6496,6480,10097,10004,5126,5054,7510,7344,7124,6916,9179,8878,17815,17456,27572,26918,2018-10-22 19:07:37
6526,6480,10094,10004,5140,5054,7509,7344,7133,6916,9179,8878,17869,17456,27568,26918,2018-10-22 19:09:37
6512,6480,10090,10004,5134,5054,7507,7344,7130,6916,9177,8878,17846,17456,27559,26918,2018-10-22 19:11:37
6546,6480,10086,10004,5150,5054,7504,7344,7138,6916,9175,8878,17902,17456,27549,26918,2018-10-22 19:13:39
6504,6480,10081,10004,5130,5054,7502,7344,7127,6916,9174,8878,17829,17456,27542,26918,2018-10-22 19:15:37
6492,6480,10077,10004,5125,5054,7499,7344,7123,6916,9172,8878,17809,17456,27530,26918,2018-10-22 19:17:38
6521,6480,10075,10004,5138,5054,7499,7344,7130,6916,9171,8878,17857,17456,27529,26918,2018-10-22 19:19:38
6490,6480,10074,10004,5123,5054,7498,7344,7122,6916,9170,8878,17927,17456,27526,26918,2018-10-22 19:21:38
