R:6179 6144,7700 7549,G:5286 5196,5690 5527,B:7243 7069,7408 7167,C:16921 16595,20380 19826&&[15:54:55(311)Rx]
R:6179 6144,7700 7549,G:5285 5196,5688 5527,B:7243 7069,7410 7167,C:16918 16595,20384 19826&&[15:57:55(717)Rx]
R:6180 6144,7703 7549,G:5286 5196,5687 5527,B:7243 7069,7411 7167,C:16920 16595,20393 19826&&[16:00:55(924)Rx]
R:6179 6144,7701 7549,G:5286 5196,5689 5527,B:7243 7069,7410 7167,C:16920 16595,20384 19826&&[16:03:56(144)Rx]
R:6179 6144,7699 7549,G:5286 5196,5688 5527,B:7243 7069,7409 7167,C:16921 16595,20380 19826&&[16:06:56(353)Rx]
R:6180 6144,7701 7549,G:5286 5196,5689 5527,B:7243 7069,7411 7167,C:16921 16595,20383 19826&&[16:09:57(350)Rx]
R:6179 6144,7702 7549,G:5286 5196,5690 5527,B:7243 7069,7412 7167,C:16919 16595,20383 19826&&[16:12:56(746)Rx]
R:6180 6144,7702 7549,G:5285 5196,5690 5527,B:7241 7069,7410 7167,C:16918 16595,20380 19826&&[16:15:56(970)Rx]
R:6181 6144,7704 7549,G:5286 5196,5691 5527,B:7242 7069,7410 7167,C:16920 16595,20381 19826&&[16:18:57(174)Rx]
R:6181 6144,7702 7549,G:5286 5196,5689 5527,B:7241 7069,7408 7167,C:16918 16595,20375 19826&&[16:21:57(372)Rx]
R:6181 6144,7704 7549,G:5286 5196,5691 5527,B:7241 7069,7409 7167,C:16917 16595,20377 19826&&[16:24:57(541)Rx]
R:6180 6144,7701 7549,G:5284 5196,5688 5527,B:7239 7069,7405 7167,C:16913 16595,20367 19826&&[16:27:57(808)Rx]
R:6180 6144,7701 7549,G:5285 5196,5689 5527,B:7240 7069,7407 7167,C:16915 16595,20366 19826&&[16:30:57(959)Rx]
R:6181 6144,7703 7549,G:5286 5196,5690 5527,B:7240 7069,7408 7167,C:16917 16595,20372 19826&&[16:33:58(192)Rx]
R:6181 6144,7702 7549,G:5285 5196,5690 5527,B:7239 7069,7406 7167,C:16914 16595,20366 19826&&[16:36:58(401)Rx]
R:6180 6144,7703 7549,G:5284 5196,5689 5527,B:7238 7069,7405 7167,C:16912 16595,20364 19826&&[16:39:58(629)Rx]
R:6180 6144,7701 7549,G:5284 5196,5688 5527,B:7237 7069,7403 7167,C:16910 16595,20359 19826&&[16:42:59(633)Rx]
R:6180 6144,7700 7549,G:5284 5196,5689 5527,B:7239 7069,7406 7167,C:16913 16595,20361 19826&&[16:45:59(030)Rx]
R:6180 6144,7701 7549,G:5285 5196,5690 5527,B:7239 7069,7405 7167,C:16913 16595,20362 19826&&[16:48:59(264)Rx]
R:6180 6144,7701 7549,G:5285 5196,5690 5527,B:7239 7069,7406 7167,C:16914 16595,20361 19826&&[16:51:59(459)Rx]
R:6180 6144,7701 7549,G:5285 5196,5691 5527,B:7239 7069,7406 7167,C:16915 16595,20360 19826&&[16:54:59(671)Rx]
R:6179 6144,7699 7549,G:5285 5196,5691 5527,B:7240 7069,7406 7167,C:16914 16595,20357 19826&&[16:57:59(868)Rx]
R:6180 6144,7702 7549,G:5286 5196,5693 5527,B:7241 7069,7409 7167,C:16918 16595,20366 19826&&[17:01:00(080)Rx]
R:6181 6144,7705 7549,G:5286 5196,5695 5527,B:7241 7069,7409 7167,C:16918 16595,20369 19826&&[17:10:00(681)Rx]
R:6182 6144,7704 7549,G:5285 5196,5694 5527,B:7238 7069,7403 7167,C:16914 16595,20349 19826&&[17:19:01(297)Rx]
R:6182 6144,7702 7549,G:5284 5196,5695 5527,B:7236 7069,7400 7167,C:16910 16595,20337 19826&&[17:28:01(934)Rx]
R:6182 6144,7703 7549,G:5283 5196,5694 5527,B:7233 7069,7398 7167,C:16906 16595,20330 19826&&[17:37:02(568)Rx]
R:6183 6144,7701 7549,G:5283 5196,5694 5527,B:7232 7069,7394 7167,C:16905 16595,20319 19826&&[17:49:03(383)Rx]
R:6183 6144,7702 7549,G:5282 5196,5694 5527,B:7229 7069,7392 7167,C:16900 16595,20313 19826&&[17:58:04(007)Rx]
R:6183 6144,7702 7549,G:5281 5196,5693 5527,B:7227 7069,7390 7167,C:16898 16595,20308 19826&&[18:07:04(613)Rx]
R:6185 6144,7702 7549,G:5281 5196,5692 5527,B:7226 7069,7389 7167,C:16897 16595,20305 19826&&[18:19:05(448)Rx]
R:6184 6144,7701 7549,G:5280 5196,5692 5527,B:7225 7069,7388 7167,C:16894 16595,20301 19826&&[18:28:06(019)Rx]
R:6184 6144,7700 7549,G:5281 5196,5692 5527,B:7226 7069,7387 7167,C:16895 16595,20296 19826&&[18:37:06(688)Rx]
R:6184 6144,7700 7549,G:5279 5196,5691 5527,B:7222 7069,7384 7167,C:16890 16595,20290 19826&&[18:49:07(514)Rx]
R:6183 6144,7698 7549,G:5278 5196,5689 5527,B:7221 7069,7381 7167,C:16887 16595,20282 19826&&[18:58:08(147)Rx]
R:6183 6144,7699 7549,G:5277 5196,5690 5527,B:7219 7069,7380 7167,C:16882 16595,20280 19826&&[19:10:08(963)Rx]
R:6183 6144,7699 7549,G:5278 5196,5689 5527,B:7219 7069,7380 7167,C:16883 16595,20279 19826&&[19:19:09(600)Rx]
R:6183 6144,7698 7549,G:5277 5196,5689 5527,B:7218 7069,7378 7167,C:16882 16595,20275 19826&&[19:31:10(424)Rx]
R:6184 6144,7701 7549,G:5277 5196,5688 5527,B:7216 7069,7375 7167,C:16880 16595,20273 19826&&[19:40:11(851)Rx]
R:6182 6144,7696 7549,G:5275 5196,5685 5527,B:7214 7069,7372 7167,C:16874 16595,20260 19826&&[19:52:11(890)Rx]
R:6182 6144,7699 7549,G:5276 5196,5687 5527,B:7214 7069,7374 7167,C:16873 16595,20270 19826&&[20:01:12(480)Rx]
R:6185 6144,7703 7549,G:5275 5196,5687 5527,B:7211 7069,7370 7167,C:16873 16595,20267 19826&&[20:13:37(291)Rx]
R:6184 6144,7703 7549,G:5272 5196,5685 5527,B:7204 7069,7365 7167,C:16862 16595,20254 19826&&[20:28:14(361)Rx]
R:6184 6144,7701 7549,G:5268 5196,5674 5527,B:7193 7069,7348 7167,C:16843 16595,20232 19826&&[20:46:15(602)Rx]
R:6183 6144,7698 7549,G:5264 5196,5667 5527,B:7183 7069,7336 7167,C:16827 16595,20211 19826&&[21:04:16(847)Rx]
R:6182 6144,7696 7549,G:5261 5196,5659 5527,B:7176 7069,7327 7167,C:16815 16595,20203 19826&&[21:22:18(090)Rx]
R:6180 6144,7692 7549,G:5258 5196,5653 5527,B:7169 7069,7318 7167,C:16803 16595,20187 19826&&[21:37:19(120)Rx]
R:6180 6144,7689 7549,G:5256 5196,5649 5527,B:7165 7069,7312 7167,C:16795 16595,20175 19826&&[21:52:20(152)Rx]
R:6179 6144,7687 7549,G:5254 5196,5644 5527,B:7159 7069,7304 7167,C:16786 16595,20161 19826&&[22:07:21(198)Rx]
R:6178 6144,7686 7549,G:5251 5196,5641 5527,B:7153 7069,7299 7167,C:16776 16595,20152 19826&&[22:22:22(228)Rx]
R:6178 6144,7683 7549,G:5249 5196,5637 5527,B:7150 7069,7294 7167,C:16770 16595,20140 19826&&[22:34:23(003)Rx]
R:6177 6144,7680 7549,G:5247 5196,5634 5527,B:7145 7069,7287 7167,C:16761 16595,20129 19826&&[22:52:24(257)Rx]
R:6176 6144,7678 7549,G:5245 5196,5631 5527,B:7141 7069,7283 7167,C:16755 16595,20120 19826&&[23:07:25(340)Rx]
R:6174 6144,7676 7549,G:5243 5196,5628 5527,B:7137 7069,7278 7167,C:16748 16595,20112 19826&&[23:22:26(366)Rx]
R:6173 6144,7675 7549,G:5242 5196,5627 5527,B:7134 7069,7276 7167,C:16742 16595,20107 19826&&[23:34:27(185)Rx]
R:6171 6144,7670 7549,G:5239 5196,5622 5527,B:7129 7069,7268 7167,C:16732 16595,20091 19826&&[23:55:29(444)Rx]
R:6171 6144,7668 7549,G:5237 5196,5620 5527,B:7125 7069,7264 7167,C:16726 16595,20081 19826&&[00:10:29(672)Rx]
